"pattern","kind","reason","added_at","source"
"avetta.com","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://www.avetta.com"
"billy.works","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://www.billy.works"
"billyforinsurance.com","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://billyforinsurance.com"
"certfocus.com","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://www.certfocus.com"
"certificial.com","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://www.certificial.com"
"construction.autodesk.com","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://construction.autodesk.com/products/buildingconnected"
"docutrax.com","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://www.docutrax.com"
"evidentid.com","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://www.evidentid.com"
"gcpay.com","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://ww3.gcpay.com"
"getbcs.com","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://www.getbcs.com"
"getjones.com","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://getjones.com"
"highwire.com","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://www.highwire.com"
"illumend.ai","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://www.illumend.ai"
"isnetworld.com","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://www.isnetworld.com/en"
"jonasconstruction.com","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://www.jonasconstruction.com"
"knowify.com","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://knowify.com"
"levelset.com","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://www.levelset.com"
"mycoitracking.com","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://mycoitracking.com"
"netvendor.com","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://www.netvendor.com"
"pinsadvantage.com","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://www.pinsadvantage.com"
"procore.com","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://www.procore.com"
"realpage.com","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://www.realpage.com"
"smartcompliance.co","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://smartcompliance.co"
"trustlayer.io","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://www.trustlayer.io"
"vendorful.com","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://www.vendorful.com"
"veriforce.com","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://veriforce.com"
"ww3.gcpay.com","domain","excluded in phase-3 list (certly-gc): competitor or never-contact","2026-09-03","https://ww3.gcpay.com"
"yardi.com","domain","excluded in phase-3 list (certly-pm): competitor or never-contact","2026-09-03","https://www.yardi.com"
"jones","org","excluded in phase-3 list (certly-pm): no website recorded","2026-09-03","https://www.getbcs.com/blog/top-certificate-of-insurance-tracking-companies"
"smartcompliance","org","excluded in phase-3 list (certly-pm): no website recorded","2026-09-03","https://www.getbcs.com/blog/top-certificate-of-insurance-tracking-companies"
