"org_id","app","name","website","segment","contact_route","route_type","personalisation_facts","stage","last_action_at","next_action_at","thread_ref","notes"
"acadia-insurance-company-6388b8","certly","Acadia Insurance Company","https://www.acadiainsurance.com","construction insurance broker / surety agency","https://www.acadiainsurance.com/contact-us","form","{""city"": ""Bedford"", ""location"": ""Bedford, New Hampshire"", ""segment"": ""construction insurance broker / surety agency"", ""state"": ""NH""}","new","","","","address the head of partnerships; phase-3 confidence: verified; source: https://members.agcnh.org/directory/Search/bonds-insurance-325080"
"agc-new-hampshire-bbe00d","certly","AGC New Hampshire","https://agcnh.org","trade association","https://agcnh.org/contact-us/","form","{""city"": ""Concord"", ""location"": ""Concord, New Hampshire"", ""segment"": ""trade association"", ""state"": ""NH""}","new","","","","address the membership director; phase-3 confidence: verified; source: https://agcnh.org"
"agc-of-california-a8b208","certly","AGC of California","https://www.agc-ca.org","trade association","https://www.agc-ca.org/about/contact/","form","{""city"": ""Sacramento"", ""location"": ""Sacramento, California"", ""segment"": ""trade association"", ""state"": ""CA""}","new","","","","address the membership director; phase-3 confidence: verified; source: https://www.agc-ca.org"
"american-subcontractors-association-ae1d2c","certly","American Subcontractors Association","https://www.asaonline.com","trade association","https://www.asaonline.com/contact-us/","form","{""city"": ""Alexandria"", ""location"": ""Alexandria, Virginia"", ""segment"": ""trade association"", ""state"": ""VA""}","new","","","","address the membership director; phase-3 confidence: verified; source: https://www.asaonline.com"
"apartment-association-of-greater-los-ang-897cb8","certly","Apartment Association of Greater Los Angeles","https://aagla.org","industry association","https://members.aagla.org/aagla-team","form","{""city"": ""Los Angeles"", ""location"": ""Los Angeles, California"", ""segment"": ""industry association"", ""state"": ""CA""}","new","","","","address the membership / education director; phase-3 confidence: verified; source: https://aagla.org"
"apartment-association-of-metro-denver-c4b41d","certly","Apartment Association of Metro Denver","https://www.aamdhq.org","industry association","https://www.aamdhq.org/contact-us","form","{""city"": ""Denver"", ""location"": ""Denver, Colorado"", ""segment"": ""industry association"", ""state"": ""CO""}","new","","","","address the membership / education director; phase-3 confidence: verified; source: https://www.aamdhq.org"
"appfolio-435d74","certly","AppFolio","https://www.appfolio.com","PM software vendor","https://www.appfolio.com/resources/contact","form","{""segment"": ""PM software vendor""}","new","","","","address the head of partnerships / integrations; phase-3 confidence: verified; source: https://www.appfolio.com"
"aprio-a4d3ba","certly","Aprio","https://www.aprio.com","construction CPA firm","https://www.aprio.com/contact","form","{""city"": ""Atlanta"", ""location"": ""Atlanta, Georgia"", ""segment"": ""construction CPA firm"", ""state"": ""GA""}","new","","","","address the head of partnerships; phase-3 confidence: verified; source: https://www.aprio.com"
"arcana-insurance-services-06562a","certly","Arcana Insurance Services","https://www.arcanains.com","insurance agency / MGA","https://arcanains.com/contact/","form","{""segment"": ""insurance agency / MGA""}","new","","","","address the head of partnerships / program manager; phase-3 confidence: verified; source: https://www.arcanains.com"
"arizona-multihousing-association-8595db","certly","Arizona Multihousing Association","https://www.azmultihousing.org","industry association","https://www.azmultihousing.org/contact-us","form","{""location"": ""Arizona"", ""segment"": ""industry association"", ""state"": ""AZ""}","new","","","","address the membership / education director; phase-3 confidence: verified; source: https://www.azmultihousing.org"
"associated-builders-and-contractors-9003d6","certly","Associated Builders and Contractors","https://www.abc.org","trade association","https://www.abc.org/ABC/Contact-Us","form","{""city"": ""Washington"", ""location"": ""Washington, Washington, D.C."", ""segment"": ""trade association"", ""state"": ""DC""}","new","","","","address the membership director; phase-3 confidence: verified; source: https://www.abc.org"
"associated-general-contractors-of-americ-f31f2a","certly","Associated General Contractors of America","https://www.agc.org","trade association","https://www.agc.org/contact-us","form","{""city"": ""Arlington"", ""location"": ""Arlington, Virginia"", ""segment"": ""trade association"", ""state"": ""VA""}","new","","","","address the membership director; phase-3 confidence: verified; source: https://www.agc.org"
"assurant-73642f","certly","Assurant","https://www.assurant.com","insurance agency / MGA","https://www.assurant.com","form","{""segment"": ""insurance agency / MGA""}","new","","","","address the head of partnerships / program manager; phase-3 confidence: verified; source: https://www.assurant.com"
"baker-newman-noyes-63041e","certly","Baker Newman & Noyes","https://www.bnncpa.com","construction CPA firm","https://www.bnncpa.com/contact/","form","{""city"": ""Manchester"", ""location"": ""Manchester, New Hampshire"", ""segment"": ""construction CPA firm"", ""state"": ""NH""}","new","","","","address the head of partnerships; phase-3 confidence: verified; source: https://members.agcnh.org/directory/Search/accounting-325075"
"baker-tilly-4add62","certly","Baker Tilly","https://www.bakertilly.com","construction CPA firm","https://www.bakertilly.com/contact/offices","form","{""city"": ""Chicago"", ""location"": ""Chicago, Illinois"", ""segment"": ""construction CPA firm"", ""state"": ""IL""}","new","","","","address the head of partnerships; phase-3 confidence: verified; source: https://www.bakertilly.com"
"bernstein-shur-p-a-f51424","certly","Bernstein Shur, P.A.","https://www.bernsteinshur.com","construction law firm","https://www.bernsteinshur.com/contact/","form","{""city"": ""Manchester"", ""location"": ""Manchester, New Hampshire"", ""segment"": ""construction law firm"", ""state"": ""NH""}","new","","","","address the head of marketing; phase-3 confidence: verified; source: https://members.agcnh.org/directory/Search/attorneys-325073"
