"org_id","app","name","website","segment","contact_route","route_type","personalisation_facts","stage","last_action_at","next_action_at","thread_ref","notes"
"180-self-storage-f4f9bc","certly","180 Self-Storage","https://www.180selfstorage.com/","self-storage operator","https://www.180selfstorage.com/","form","{""location"": ""Arizona"", ""segment"": ""self-storage operator"", ""state"": ""AZ""}","new","","","","address the director of operations; phase-3 confidence: secondary; source: https://www.sitelink.com/marketplace/management-companies/180-self-storage"
"1k-domestic-solutions-corp-f729cd","certly","1K Domestic Solutions Corp","https://1kdomesticsolutions.com/","specialty prime (mechanical)","https://1kdomesticsolutions.com/contact/","form","{""city"": ""Miami"", ""location"": ""Miami, Florida"", ""segment"": ""specialty prime (mechanical)"", ""state"": ""FL""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://1kdomesticsolutions.com/contact/; address the owner; phase-3 confidence: verified; source: https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv"
"3-d-construction-services-inc-b09cd7","certly","3 D Construction Services INC","https://3dconstructionservices.com/","building contractor","https://3dconstructionservices.com/contact-us/","form","{""city"": ""Orlando"", ""location"": ""Orlando, Florida"", ""segment"": ""building contractor"", ""state"": ""FL""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://3dconstructionservices.com/contact-us/; address the owner; phase-3 confidence: verified; source: https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv"
"33rd-company-inc-819b68","certly","33rd Company, Inc.","https://www.33rdcompany.com/","HOA / community association management","https://www.33rdcompany.com/","form","{""city"": ""Woodbury"", ""location"": ""Woodbury, Minnesota"", ""segment"": ""HOA / community association management"", ""state"": ""MN""}","new","","","","address the director of community management; phase-3 confidence: secondary; source: https://www.hoamanagement.com/association-management-company/33rd-company-inc-2/"
"360-properties-llc-576de9","certly","360 Properties, LLC","https://www.cedarparkpropertymanagement.com/","residential property management","https://www.cedarparkpropertymanagement.com/contact","form","{""city"": ""Cedar Park"", ""location"": ""Cedar Park, Texas"", ""segment"": ""residential property management"", ""source_list"": ""the Expertise.com property management listings"", ""state"": ""TX""}","new","","","","address the owner / broker-owner; phase-3 confidence: verified; source: https://www.expertise.com/business/property-management/texas/austin"
"4-star-services-inc-4e9000","certly","4 Star Services Inc","https://www.4starplumbing.com/","specialty prime (mechanical)","https://www.4starplumbing.com/contact/","form","{""city"": ""Fort Lauderdale"", ""location"": ""Fort Lauderdale, Florida"", ""segment"": ""specialty prime (mechanical)"", ""state"": ""FL""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://www.4starplumbing.com/contact/; address the owner; phase-3 confidence: verified; source: https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv"
"5-elements-design-and-construction-47bd75","certly","5 Elements Design And Construction","https://elementsdesign.com/","commercial GC","https://elementsdesign.com/contact/","form","{""city"": ""Richmond"", ""location"": ""Richmond, California"", ""segment"": ""commercial GC"", ""size_signal_raw"": ""Workers' comp policy on file with State Compensation Insurance Fund (CSLB record), i.e. carries W-2 field staff"", ""state"": ""CA""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://elementsdesign.com/contact/; address the owner; phase-3 confidence: verified; source: https://www2.cslb.ca.gov/onlineservices/dataportal/ListByCounty"
"5150-community-management-65f332","certly","5150 Community Management","https://5150communitymanagement.com/","HOA / community association management","https://5150communitymanagement.com/","form","{""city"": ""Englewood"", ""location"": ""Englewood, Colorado"", ""segment"": ""HOA / community association management"", ""state"": ""CO""}","new","","","","address the director of community management; phase-3 confidence: secondary; source: https://www.hoamanagement.com/association-management-company/5150-community-management/"
"5150-community-management-llc-96055d","certly","5150 Community Management, LLC","https://www.5150communitymanagement.com/","HOA / community association management","https://www.fivekeyscm.com/contact","form","{""city"": ""Englewood"", ""location"": ""Englewood, Colorado"", ""segment"": ""HOA / community association management"", ""size_signal_raw"": ""58 community associations under management"", ""state"": ""CO""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://www.fivekeyscm.com/contact; address the director of community management; phase-3 confidence: secondary; source: https://www.communitypay.us/management-companies/state/colorado/"
"901-real-estate-services-540ae9","certly","901 Real Estate Services","https://901res.com/","residential property management","https://901res.com/contact-us/","form","{""city"": ""Memphis"", ""location"": ""Memphis, Tennessee"", ""segment"": ""residential property management"", ""source_list"": ""the Expertise.com property management listings"", ""state"": ""TN""}","new","","","","address the owner / broker-owner; phase-3 confidence: verified; source: https://www.expertise.com/business/property-management/tennessee/memphis"
