"pattern","kind","reason","added_at","source"
"citizenserve.com","domain","excluded in phase-3 list (stateready): competitor or never-contact","2026-09-03","https://www.citizenserve.com/municipal-software-solutions/contractor-licensing-software/"
"contractor-state-license.com","domain","excluded in phase-3 list (stateready): competitor or never-contact","2026-09-03","https://www.mycarrollcountynews.com/online_features/press_releases/article_45ab0151-9188-5ee0-b0fa-adf12b58e710.html"
"cscglobal.com","domain","excluded in phase-3 list (stateready): competitor or never-contact","2026-09-03","https://licenseroadmap.com/blog/best-contractor-license-tracking-software"
"harborcompliance.com","domain","excluded in phase-3 list (stateready): competitor or never-contact","2026-09-03","https://www.harborcompliance.com/compliance-solutions-construction-firms"
"licensedtrades.com","domain","excluded in phase-3 list (stateready): competitor or never-contact","2026-09-03","https://licensedtrades.com/"
"licenseroadmap.com","domain","excluded in phase-3 list (stateready): competitor or never-contact","2026-09-03","https://licenseroadmap.com/"
"remindax.com","domain","excluded in phase-3 list (stateready): competitor or never-contact","2026-09-03","https://www.remindax.com/software-license-tracking"
"renewops.app","domain","excluded in phase-3 list (stateready): competitor or never-contact","2026-09-03","https://renewops.app/solutions/license-expiration-tracking-software"
"staterequirement.com","domain","excluded in phase-3 list (stateready): competitor or never-contact","2026-09-03","https://staterequirement.com/license-alert/"
"compliancequest","org","excluded in phase-3 list (stateready): no website recorded","2026-09-03","https://licenseroadmap.com/blog/best-contractor-license-tracking-software"
"contractor license tracker","org","excluded in phase-3 list (stateready): no website recorded","2026-09-03","https://licenseroadmap.com/blog/best-contractor-license-tracking-software"
"expiryedge","org","excluded in phase-3 list (stateready): no website recorded","2026-09-03","https://licenseroadmap.com/blog/best-contractor-license-tracking-software"
"licenselogix (wolters kluwer ct corporation)","org","excluded in phase-3 list (stateready): no website recorded","2026-09-03","https://licenseroadmap.com/blog/best-contractor-license-tracking-software"
