"org_id","app","name","website","segment","contact_route","route_type","personalisation_facts","stage","last_action_at","next_action_at","thread_ref","notes"
"a1-contractor-services-f83bf5","stateready","A1 Contractor Services","https://a1contractorservices.com","licence expediting / compliance firm","https://a1contractorservices.com/contact-us/","form","{""segment"": ""licence expediting / compliance firm"", ""size_signal_raw"": ""Own site title lists CA, WA, NV, AZ, OR, NM, ID, UT""}","new","","","","address the owner / director of licensing; phase-3 confidence: verified; source: https://a1contractorservices.com/"
"air-conditioning-contractors-of-america--d937d1","stateready","Air Conditioning Contractors of America (ACCA)","https://www.acca.org","national trade association","https://www.acca.org/contact","form","{""city"": ""Alexandria"", ""location"": ""Alexandria, Virginia"", ""segment"": ""national trade association"", ""size_signal_raw"": ""Runs a \""State License and CEU Credits\"" education track on its own site"", ""state"": ""VA""}","new","","","","address the head of membership / education director; phase-3 confidence: verified; source: https://www.acca.org/home"
"alpine-investors-9de14c","stateready","Alpine Investors","https://alpineinvestors.com","PE sponsor active in home services","https://alpineinvestors.com","form","{""city"": ""San Francisco"", ""location"": ""San Francisco, California"", ""segment"": ""PE sponsor active in home services"", ""state"": ""CA""}","new","","","","address the operating partner / head of portfolio operations; phase-3 confidence: verified; source: https://alpineinvestors.com"
"altas-partners-bd8127","stateready","Altas Partners","https://www.altas.com","PE sponsor active in home services","https://www.altas.com","form","{""city"": ""Toronto, ON"", ""location"": ""Toronto, ON"", ""segment"": ""PE sponsor active in home services""}","new","","","","address the operating partner / head of portfolio operations; phase-3 confidence: verified; source: https://www.altas.com"
"apax-partners-160b8e","stateready","Apax Partners","https://www.apax.com","PE sponsor active in home services","https://www.apax.com","form","{""city"": ""London, UK"", ""location"": ""London, UK"", ""segment"": ""PE sponsor active in home services""}","new","","","","address the operating partner / head of portfolio operations; phase-3 confidence: verified; source: https://www.apax.com"
"api-processing-592c0c","stateready","API Processing","https://apiprocessing.com","licence expediting / compliance firm","https://apiprocessing.com/contact/","form","{""city"": ""Fort Lauderdale"", ""location"": ""Fort Lauderdale, Florida"", ""segment"": ""licence expediting / compliance firm"", ""size_signal_raw"": ""Own site claims 30 years and licensing \""across all 50 states\"""", ""state"": ""FL""}","new","","","","address the owner / director of licensing; phase-3 confidence: verified; source: https://apiprocessing.com/"
"associated-builders-and-contractors-abc-8d5498","stateready","Associated Builders and Contractors (ABC)","https://www.abc.org","national trade association","https://www.abc.org/ABC/Contact-Us","form","{""city"": ""Washington"", ""location"": ""Washington, Washington, D.C."", ""segment"": ""national trade association"", ""state"": ""DC""}","new","","","","address the head of membership / education director; phase-3 confidence: verified; source: https://www.abc.org/"
"athomeprep-a44de7","stateready","AtHomePrep","https://www.athomeprep.com","exam prep / CE school","https://www.athomeprep.com/","form","{""segment"": ""exam prep / CE school""}","new","","","","address the owner; phase-3 confidence: verified; source: https://www.athomeprep.com/"
"bessemer-investors-80fd1a","stateready","Bessemer Investors","https://www.bessemerinvestors.com","PE sponsor active in home services","https://www.bessemerinvestors.com","form","{""city"": ""New York"", ""location"": ""New York, New York"", ""segment"": ""PE sponsor active in home services"", ""state"": ""NY""}","new","","","","address the operating partner / head of portfolio operations; phase-3 confidence: verified; source: https://www.bessemerinvestors.com"
"bonding-solutions-a4a5b7","stateready","Bonding Solutions","https://bondingsolutions.com","surety bond / contractor insurance","https://bondingsolutions.com/contact/","form","{""segment"": ""surety bond / contractor insurance""}","new","","","","address the head of partnerships; phase-3 confidence: verified; source: https://bondingsolutions.com/"
