"org_id","app","name","website","segment","contact_route","route_type","personalisation_facts","stage","last_action_at","next_action_at","thread_ref","notes"
"aaa-service-network-2d1be1","stateready","AAA Service Network","https://www.aaaservicenetwork.com/","platform operating brand","https://www.aaaservicenetwork.com/contact-us/","form","{""city"": ""Brighton, MI 48116"", ""location"": ""Brighton, MI 48116"", ""segment"": ""platform operating brand""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://www.aaaservicenetwork.com/contact-us/; address the general manager / office manager; phase-3 confidence: secondary; source: https://anyhourgroup.com/partners/"
"abacus-plumbing-air-conditioning-and-ele-78e00d","stateready","Abacus Plumbing, Air Conditioning and Electrical","https://www.abacusplumbing.com/","platform operating brand","https://www.abacusplumbing.com/about-us/","form","{""city"": ""Houston"", ""location"": ""Houston, Texas"", ""segment"": ""platform operating brand"", ""state"": ""TX""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://www.abacusplumbing.com/about-us/; address the general manager / office manager; phase-3 confidence: secondary; source: https://www.wrenchgroup.com/wrench-group-brands/"
"absolute-air-services-7824c7","stateready","Absolute Air Services","https://www.absoluteairservices.com/","platform operating brand","https://www.absoluteairservices.com/contact-us/","form","{""city"": ""Portland, CT | Essex"", ""location"": ""Portland, CT | Essex, Connecticut"", ""segment"": ""platform operating brand"", ""state"": ""CT""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://www.absoluteairservices.com/contact-us/; address the general manager / office manager; phase-3 confidence: secondary; source: https://silaservices.com/brands/"
"adam-home-services-88647f","stateready","Adam Home Services","https://adamhomeservices.com/","platform operating brand","https://adamhomeservices.com/contact-us/","form","{""city"": ""Havertown"", ""location"": ""Havertown, Pennsylvania"", ""segment"": ""platform operating brand"", ""state"": ""PA""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://adamhomeservices.com/contact-us/; address the general manager / office manager; phase-3 confidence: secondary; source: https://silaservices.com/brands/"
"advanced-integrated-services-ais-65b7df","stateready","Advanced Integrated Services (AIS)","https://integratedais.com/","platform operating brand","https://integratedais.com/contact","form","{""segment"": ""platform operating brand""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://integratedais.com/contact; address the general manager / office manager; phase-3 confidence: secondary; source: https://creteunited.com/"
"air-comfort-2d5e9d","stateready","Air Comfort","https://www.aircomfort.com/","platform operating brand","https://www.aircomfort.com/contact","form","{""city"": ""Broadview"", ""location"": ""Broadview, Illinois"", ""segment"": ""platform operating brand"", ""state"": ""IL""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://www.aircomfort.com/contact; address the general manager / office manager; phase-3 confidence: secondary; source: https://astraservicepartners.com/our-companies/"
"air-force-one-e7b557","stateready","Air Force One","https://www.airforceone.com/","platform operating brand","https://www.airforceone.com/contact-us","form","{""city"": ""Columbus"", ""location"": ""Columbus, Ohio"", ""segment"": ""platform operating brand"", ""state"": ""OH""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://www.airforceone.com/contact-us; address the general manager / office manager; phase-3 confidence: secondary; source: https://www.servicelogic.com/locations"
"air-pros-usa-c0dcfa","stateready","Air Pros USA","https://airprosusa.com","PE-backed home-services platform","https://airprosusa.com/mergers-and-acquisitions/","form","{""city"": ""Hollywood"", ""location"": ""Hollywood, Florida"", ""segment"": ""PE-backed home-services platform"", ""size_signal_raw"": ""Florida markets incl. Fort Lauderdale, Miami, Tampa, Orlando"", ""state"": ""FL""}","new","","","","address the VP of compliance / head of integration; phase-3 confidence: verified; source: https://airprosusa.com/"
"air-texas-mechanical-b3c311","stateready","Air Texas Mechanical","https://www.airtexasmechanical.com/","platform operating brand","https://www.airtexasmechanical.com/contact-us","form","{""city"": ""Addison"", ""location"": ""Addison, Texas"", ""segment"": ""platform operating brand"", ""state"": ""TX""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://www.airtexasmechanical.com/contact-us; address the general manager / office manager; phase-3 confidence: secondary; source: https://www.servicelogic.com/locations"
"aire-serv-b6d0f4","stateready","Aire Serv","https://www.aireserv.com","franchise brand (licensed trade)","https://www.aireserv.com","form","{""segment"": ""franchise brand (licensed trade)""}","new","","","","address the brand president / franchise business consultant; phase-3 confidence: verified; source: https://www.aireserv.com"
