"pattern","kind","reason","added_at","source"
"aatrix.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://aatrix.com"
"b2gnow.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://www.b2gnow.com"
"certifiedpayroll.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://www.certifiedpayroll.com"
"certifiedpayrollpro.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://www.certifiedpayrollpro.com"
"computerguidance.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://www.computerguidance.com"
"davisbaconrates.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://davisbaconrates.com"
"deltek.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://www.deltek.com"
"ebacon.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://ebacon.com"
"elationsys.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://www.elationsys.com"
"foundationsoft.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://www.foundationsoft.com"
"hh2.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://hh2.com"
"lcptracker.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://lcptracker.com"
"miter.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://www.miter.com"
"myconstructionpayroll.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://www.myconstructionpayroll.com"
"payroll4construction.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://www.payroll4construction.com"
"points-north.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://www.certifiedpayrollreporting.com"
"procore.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://www.procore.com"
"sunburstsoftwaresolutions.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://www.sunburstsoftwaresolutions.com"
"trimble.com","domain","excluded in phase-3 list (wagelens): competitor or never-contact","2026-09-03","https://viewpoint.com"
"sage","org","excluded in phase-3 list (wagelens): no website recorded","2026-09-03","https://www.sage.com"
