"org_id","app","name","website","segment","contact_route","route_type","personalisation_facts","stage","last_action_at","next_action_at","thread_ref","notes"
"asta-roofing-construction-llc-2ebfc4","wagelens","'Asta' Roofing & Construction, LLC","https://astaroofing.com/","roofing contractor","https://astaroofing.com/contact","form","{""city"": ""Winslow"", ""federal_awards"": {""count"": 5, ""since"": ""2024"", ""total"": ""$2.0M""}, ""location"": ""Winslow, Arizona"", ""segment"": ""roofing contractor"", ""size_signal_raw"": ""5 federal awards, $2.0M total since 2024"", ""state"": ""AZ""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://astaroofing.com/contact; address the owner or office manager; phase-3 confidence: verified; source: https://www.usaspending.gov/recipient/e4713313-14db-d6ca-be36-e5fc5de80b56-C/latest"
"xrb-construction-services-llc-d15608","wagelens","(Xrb) Construction Services LLC","https://xrbconstruction.com/","masonry contractor","https://xrbconstruction.com/contact","form","{""city"": ""Hillside"", ""federal_awards"": {""count"": 2, ""since"": ""2024"", ""total"": ""$248k""}, ""location"": ""Hillside, Illinois"", ""segment"": ""masonry contractor"", ""size_signal_raw"": ""2 federal awards, $248k total since 2024"", ""state"": ""IL""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://xrbconstruction.com/contact; address the owner or office manager; phase-3 confidence: verified; source: https://www.usaspending.gov/recipient/1be985d9-f1fe-13ae-2227-fe5c54f102ae-C/latest"
"10-10-construction-llc-eb347a","wagelens","10/10 Construction LLC","https://1010construction.net/","other building equipment contractor","https://1010construction.net/contact-us/","form","{""city"": ""Fort Worth"", ""federal_awards"": {""count"": 1, ""since"": ""2024"", ""total"": ""$88k""}, ""location"": ""Fort Worth, Texas"", ""segment"": ""other building equipment contractor"", ""size_signal_raw"": ""1 federal award, $88k total since 2024"", ""state"": ""TX""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://1010construction.net/contact-us/; address the owner or office manager; phase-3 confidence: verified; source: https://www.usaspending.gov/recipient/d64f88a6-7f45-3bd9-39d4-55e2b33bc1fe-C/latest"
"11-series-energy-inc-7686d1","wagelens","11 Series Energy, Inc.","https://11seriesenergy.com/","electrical contractor","https://11seriesenergy.com/contact/","form","{""city"": ""Melbourne"", ""federal_awards"": {""count"": 3, ""since"": ""2024"", ""total"": ""$814k""}, ""location"": ""Melbourne, Florida"", ""segment"": ""electrical contractor"", ""size_signal_raw"": ""3 federal awards, $814k total since 2024"", ""state"": ""FL""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://11seriesenergy.com/contact/; address the owner or office manager; phase-3 confidence: verified; source: https://www.usaspending.gov/recipient/4c5f860a-f7e6-eecb-1ff8-d9da3a7ddc0c-C/latest"
"1st-class-contracting-of-n-y-corp-af3f5f","wagelens","1st Class Contracting of N.Y., Corp.","https://1stclasscontractingny.com","MWBE/SBE certified construction firm","https://1stclasscontractingny.com/contact-us/","form","{""certification"": {""codes"": [""MBE"", ""WBE""], ""programme"": ""New York City SBS""}, ""city"": ""Queens Village"", ""location"": ""Queens Village, New York"", ""segment"": ""MWBE/SBE certified construction firm"", ""size_signal_raw"": ""NYC SBS certification: MBE,WBE"", ""source_list"": ""the New York City SBS certified business directory"", ""state"": ""NY""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://1stclasscontractingny.com/contact-us/; address the owner or office manager; phase-3 confidence: verified; source: https://data.cityofnewyork.us/d/ci93-uc8s"
"3-kings-environmental-inc-d7ec8c","wagelens","3 Kings Environmental Inc","https://3kingsenvironmental.com/","state prevailing-wage contractor (WA)","https://3kingsenvironmental.com/contact/","form","{""city"": ""Battle Ground"", ""location"": ""Battle Ground, Washington"", ""payroll_filings"": {""count"": 133, ""label"": ""statements of intent filed on Washington public works"", ""since"": ""2024""}, ""segment"": ""state prevailing-wage contractor (WA)"", ""size_signal_raw"": ""133 statement of intents on WA public works since 2024"", ""state"": ""WA""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://3kingsenvironmental.com/contact/; address the owner or office manager; phase-3 confidence: verified; source: https://data.wa.gov/d/t9je-9qwa"
"360-land-survey-d-p-c-947902","wagelens","360 Land Survey D. P. C.","https://360landsurvey.com/","state prevailing-wage contractor (NY)","https://360landsurvey.com/contact/","form","{""location"": ""New York"", ""payroll_filings"": {""count"": 721, ""label"": ""weekly certified payrolls filed on New York public work"", ""since"": ""2024""}, ""segment"": ""state prevailing-wage contractor (NY)"", ""size_signal_raw"": ""721 weekly certified payrolls filed on NY public work since 2024"", ""source_list"": ""the New York State Department of Labor public work contractor registry"", ""state"": ""NY""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://360landsurvey.com/contact/; address the owner or office manager; phase-3 confidence: verified; source: https://data.ny.gov/d/w2zp-sf2x"
"365-space-solutions-9060d0","wagelens","365 Space Solutions","https://365spacesolutions.com/","MWBE/SBE certified construction firm","https://365spacesolutions.com/contact/","form","{""certification"": {""codes"": [""MBE"", ""WBE""], ""programme"": ""New York City SBS""}, ""city"": ""Flemington"", ""location"": ""Flemington, New Jersey"", ""segment"": ""MWBE/SBE certified construction firm"", ""size_signal_raw"": ""NYC SBS certification: MBE,WBE"", ""source_list"": ""the New York City SBS certified business directory"", ""state"": ""NJ""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://365spacesolutions.com/contact/; address the owner or office manager; phase-3 confidence: verified; source: https://data.cityofnewyork.us/d/ci93-uc8s"
"4-g-plumbing-and-heating-inc-73f50c","wagelens","4 G Plumbing And Heating, Inc.","https://4gplumbing.com/","plumbing, heating and air-conditioning contractor","https://4gplumbing.com/contact-us/","form","{""city"": ""Missoula"", ""federal_awards"": {""count"": 12, ""since"": ""2024"", ""total"": ""$1.5M""}, ""location"": ""Missoula, Montana"", ""segment"": ""plumbing, heating and air-conditioning contractor"", ""size_signal_raw"": ""12 federal awards, $1.5M total since 2024"", ""state"": ""MT""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://4gplumbing.com/contact-us/; address the owner or office manager; phase-3 confidence: verified; source: https://www.usaspending.gov/recipient/d46462bb-4e93-1661-3525-14e658a1152a-C/latest"
"a-a-plumbing-systems-inc-2c5448","wagelens","A & A Plumbing Systems, Inc.","https://plumbingsystems.net/","MWBE/SBE certified construction firm","https://plumbingsystems.net/contact/","form","{""certification"": {""codes"": [""MBE""], ""programme"": ""New York City SBS""}, ""city"": ""Saint Albans"", ""location"": ""Saint Albans, New York"", ""segment"": ""MWBE/SBE certified construction firm"", ""size_signal_raw"": ""NYC SBS certification: MBE"", ""source_list"": ""the New York City SBS certified business directory"", ""state"": ""NY""}","new","","","","route from routes-enrichment.csv (2026-09-03), verified at https://plumbingsystems.net/contact/; address the owner or office manager; phase-3 confidence: verified; source: https://data.cityofnewyork.us/d/ci93-uc8s"
