"app","prospect_type","segment","name","website","location","size_signal","fit_rationale","contact_route","decision_maker_role","source_url","source_type","confidence","collected_on","notes"
"certly","end-customer","commercial GC","3 C Construction Corp","","Coral Gables, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC043273 (Certified General Contractor), issued 03/28/1988, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","4D Construction, LLC","","Coral Gables, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC026694 (Certified General Contractor), issued 10/31/1983, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","A & J Builders Group INC","","Hialeah, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC062644 (Certified General Contractor), issued 09/14/2001, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","A & S Construction And Management INC","","Miami Beach, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC1509036 (Certified General Contractor), issued 05/12/2005, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","A C D Builders And Contractors INC","","Miami, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC017662 (Certified General Contractor), issued 11/11/1980, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","A E Ortego Construction CO","","Miami, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC009648 (Certified General Contractor), issued 12/12/1975, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","A G M Builder Construction INC","","Miami, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC062822 (Certified General Contractor), issued 10/30/2001, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","A-tect Construction INC","","Miami, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC050966 (Certified General Contractor), issued 07/28/1990, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","A.g. Contractors Corp.","","Hialeah, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC1504445 (Certified General Contractor), issued 06/10/2002, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","ABC Construction INC","","Miami, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGCA60037 (Certified General Contractor), issued 11/17/1998, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","ABC Development Group INC","","Miami, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC1508273 (Certified General Contractor), issued 01/04/2005, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","ACE Construction & Design Services LLC","","Miami, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC058483 (Certified General Contractor), issued 05/22/1996, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","ACR Contractors INC","","Miami, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC060097 (Certified General Contractor), issued 09/11/1998, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","AKJ General Contracting LLC","","North Miami, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC048525 (Certified General Contractor), issued 11/18/1989, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","ALL Florida General Construction INC","","Miami, FL","","Florida certified general contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC062703 (Certified General Contractor), issued 09/22/2001, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","building contractor","ACE Construction & Remodeling, LLC","","Miami, FL","","Florida certified building contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CBC058658 (Certified Building Contractor), issued 09/15/1998, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","building contractor","ALL Construction Resources, INC","","Miami, FL","","Florida certified building contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CBC1253341 (Certified Building Contractor), issued 08/31/2005, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","building contractor","AMC Construction INC","","Miami, FL","","Florida certified building contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CBC038903 (Certified Building Contractor), issued 12/05/1986, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","building contractor","Action Builders INC","","Miami, FL","","Florida certified building contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CBC024036 (Certified Building Contractor), issued 11/08/1982, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","residential / multifamily builder","Amek Homes Construction CO","","Miami, FL","","Florida certified building contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CBC1251239 (Certified Building Contractor), issued 09/05/2003, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","building contractor","Anglers Construction INC","","Florida City, FL","","Florida certified building contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CBC1253522 (Certified Building Contractor), issued 10/27/2005, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","building contractor","Ardeco Construction Corp","","Medley, FL","","Florida certified building contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CBC038911 (Certified Building Contractor), issued 12/05/1986, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","building contractor","Atem Construction INC","","Doral, FL","","Florida certified building contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CBC059223 (Certified Building Contractor), issued 11/30/1999, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","building contractor","Avail Construction Corporation","","Miami, FL","","Florida certified building contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CBC057706 (Certified Building Contractor), issued 04/23/1996, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","building contractor","Bang Construction INC","","Miami, FL","","Florida certified building contractor in Miami-Dade County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CBC044626 (Certified Building Contractor), issued 07/30/1988, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","2C Design LLC","","Sunrise, FL","","Florida certified general contractor in Broward County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC1509850 (Certified General Contractor), issued 10/04/2005, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","A B Knight Construction And Development, LLC","","Pompano Beach, FL","","Florida certified general contractor in Broward County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC1506976 (Certified General Contractor), issued 03/23/2004, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","A T Construction INC","","Hollywood, FL","","Florida certified general contractor in Broward County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC032716 (Certified General Contractor), issued 03/07/1985, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","A. V. I. Contractors, INC","","Weston, FL","","Florida certified general contractor in Broward County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC1508145 (Certified General Contractor), issued 11/30/2004, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","A1 Construction Group INC","","Weston, FL","","Florida certified general contractor in Broward County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC1506418 (Certified General Contractor), issued 11/17/2003, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","A1 Prestige General Contractor, LLC","","Miramar, FL","","Florida certified general contractor in Broward County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC060440 (Certified General Contractor), issued 02/11/1999, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","A1A Building Group Corp","","Pompano Beach, FL","","Florida certified general contractor in Broward County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC048653 (Certified General Contractor), issued 11/18/1989, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","AK Construction & Remodeling INC","","Parkland, FL","","Florida certified general contractor in Broward County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC057505 (Certified General Contractor), issued 07/20/1994, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
"certly","end-customer","commercial GC","ALL Dade General Inc.","","Tamarac, FL","","Florida certified general contractor in Broward County: a licensed prime that subcontracts trades and must hold a current ACORD 25 from every sub before it lets them on site.","","owner","https://www2.myfloridalicense.com/sto/file_download/extracts//CONSTRUCTIONLICENSE_1.csv","government-db","verified","2026-09-03","FL DBPR licence CGC061678 (Certified General Contractor), issued 08/22/2000, expires 08/31/2028. Verify at https://www.myfloridalicense.com/wl11.asp . Website not opened, so no contact route."
