"name","website","contact_route","route_type","evidence_url","checked_on","notes","location"
"180 Self-Storage","https://www.180selfstorage.com/","","none","https://www.180selfstorage.com/","2026-09-03","existing-contact-page: 180selfstorage.com: no generic mailbox published; 180selfstorage.com: no generic mailbox published","AZ"
"1st Priority Property Management LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 1stpriority.com: host does not carry the organisation name | 1stpriority.us: page body empty","Madras, OR"
"1st Realty Resources","https://www.1strealty.net/","info@1strealty.net","mailbox","https://www.1strealty.net/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Fort Worth, TX"
"24k Property Management","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 24kproperties.com: page does not name the organisation | 24kpropertymanagement.com: weak name (24kpropertymanagement): page does not corroborate the location","Boise, ID"
"33rd Company, Inc.","https://www.33rdcompany.com/","","none","https://www.33rdcompany.com/","2026-09-03","existing-contact-page: https://www.33rdcompany.com/: http 301","Woodbury, MN"
"360 Community Management","https://www.360hoa.com","info@360hoa.com","mailbox","https://360hoa.com/","2026-09-03","existing-contact-page: mailbox published on the contact page","San Diego, CA"
"360 Properties, LLC","https://www.cedarparkpropertymanagement.com/","","none","https://www.cedarparkpropertymanagement.com/","2026-09-03","existing-contact-page: cedarparkpropertymanagement.com: no generic mailbox published; cedarparkpropertymanagement.com: no generic mailbox published","Cedar Park, TX"
"3stripe Management","","","none","","2026-09-03","no candidate domain resolved from the name","Seattle, WA"
"4 Degrees","https://4degrees.com/","info@4degrees.com","mailbox","https://4degrees.com/contact/","2026-09-03","existing-contact-page: mailbox published on the contact page","Spokane, WA"
"5005 Properties, Inc.","","","none","","2026-09-03","no site confirmed after 1 fetch(es); 5005properties.com: weak name (5005properties): page does not corroborate the location",""
"5150 Community Management, LLC","https://www.5150communitymanagement.com/","https://www.fivekeyscm.com/contact","form","https://www.fivekeyscm.com/contact","2026-09-03","dns-guess: site confirmed: full name in page; contact page fetched, no generic mailbox published","Englewood, CO"
"5150 Community Management","https://5150communitymanagement.com/","","none","https://5150communitymanagement.com/","2026-09-03","existing-contact-page: 5150communitymanagement.com: no generic mailbox published; 5150communitymanagement.com: no generic mailbox published","Englewood, CO"
"901 Real Estate Services","https://901res.com/","","none","https://901res.com/","2026-09-03","existing-contact-page: 901res.com: no generic mailbox published; 901res.com: no generic mailbox published","Memphis, TN"
"A Superior Property Management Company LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); superiorpropertymanagement.com: page does not name the organisation | superiorproperty.com: http 403","Bend, OR"
"A+ Association Accounting","https://www.hoaliving.com/aplus-hoa-management/","","none","https://www.hoaliving.com/aplus-hoa-management/","2026-09-03","existing-contact-page: hoaliving.com: no generic mailbox published; hoaliving.com: no generic mailbox published","Salt Lake City, UT"
"A.L.S. Properties/Hart Custom Homes","https://www.harthomesflorida.com/","https://www.harthomesflorida.com/contact/","form","https://www.harthomesflorida.com/contact/","2026-09-03","dns-guess: site confirmed: distinctive name in page; contact page fetched, no generic mailbox published",""
"A.R.K. HOA Management, LLC","https://www.ark-management.com","customerservice@ark-management.com","mailbox","https://www.ark-management.com/","2026-09-03","existing-contact-page: mailbox published on the contact page","San Diego, CA"
"AAA Property Management Company LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); aaapropertymanagement.com: weak name (aaapropertymanagement): page does not corroborate the location | aaaproperty.com: page does not name the organisation","Clinton, MO"
"AAAA Self Storage Management","https://packedplanet.com/full-service-management/","","none","https://packedplanet.com/full-service-management/","2026-09-03","existing-contact-page: packedplanet.com: no generic mailbox published; packedplanet.com: no generic mailbox published","VA"
"AAIMS Property Management, Inc.","","","none","","2026-09-03","no candidate domain resolved from the name","Fayetteville, NC"
"ABBITT MANAGEMENT  LLC","","","none","","2026-09-03","no site confirmed after 1 fetch(es); abbittmanagement.com: page body empty","Newport News, VA"
"Aberdeen Management & Development","http://www.aberdeenmgmt.com/home.html","","none","http://www.aberdeenmgmt.com/home.html","2026-09-03","existing-contact-page: http://www.aberdeenmgmt.com/home.html: http 0","AZ"
"Ability Realty","https://tucsonrealestatebroker.com/","","none","https://tucsonrealestatebroker.com/","2026-09-03","existing-contact-page: tucsonrealestatebroker.com: no generic mailbox published; tucsonrealestatebroker.com: no generic mailbox published","Tucson, AZ"
"ABQ Property Management","","","none","","2026-09-03","no site confirmed after 2 fetch(es); propertymanageralbuquerquenm.com: http 404 | abqpropertymanagement.com: page body empty","Albuquerque, NM"
"Accent Realtors","https://www.accentrealtors.com/","info@accentrealtors.com","mailbox","https://www.accentrealtors.com/","2026-09-03","existing-contact-page: mailbox published on the homepage","Tulsa, OK"
"Access More Property Management","https://www.accessmorepropertymanagement.com/","","none","https://www.accessmorepropertymanagement.com/","2026-09-03","existing-contact-page: accessmorepropertymanagement.com: no generic mailbox published; accessmorepropertymanagement.com: no generic mailbox published","Columbus, OH"
"Access Results Management Services","http://accessrms.ca/","","none","http://accessrms.ca/","2026-09-03","existing-contact-page: http://accessrms.ca/: http 0",""
"Access Self Storage","https://www.accessselfstorage.com/management-services/","","none","https://www.accessselfstorage.com/management-services/","2026-09-03","existing-contact-page: accessselfstorage.com: no generic mailbox published; accessselfstorage.com: no generic mailbox published","NJ"
"Accountable Property Management","https://accountablepm.com/","info@accountablepm.com","mailbox","https://accountablepm.com/","2026-09-03","existing-contact-page: mailbox published on the homepage","Hayward, CA"
"Acorn Mini Storage","https://www.acornministorage.com:443/","","none","https://www.acornministorage.com:443/","2026-09-03","existing-contact-page: acornministorage.com: no generic mailbox published; acornministorage.com: no generic mailbox published","ME"
"Action Property Management, AAMC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); actionproperty.com: page does not name the organisation | actionproperty.net: page does not name the organisation","Houston, TX"
"Action Property Management, Inc.","https://www.actionlife.com/","","none","https://www.actionlife.com/","2026-09-03","existing-contact-page: actionlife.com: no generic mailbox published; actionlife.com: no generic mailbox published","Irvine, CA"
"Ad Astra Realty","https://www.adastrarealty.com/","office@adastrakc.com","mailbox","https://adastrakc.com/contact-us","2026-09-03","existing-contact-page: mailbox published on the contact page","Olathe, KS"
"Advanced Property Management, Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); advancedpropertymanagement.com: host does not carry the organisation name | advancedproperty.com: page body empty","Rockledge, FL"
"Advantage Property Management, LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); advantagepropertymanagement.com: parked/stub page (hugedomains) | advantageproperty.com: page body empty","Thomasville, NC"
"Advantage Self Storage Property Management, LLC","https://www.advantagestorage.net:443/","","none","https://www.advantagestorage.net:443/","2026-09-03","existing-contact-page: advantagestorage.net: no generic mailbox published; advantagestorage.net: no generic mailbox published","TX"
"Advent Properties, Inc.","https://adventpropertiesinc.com/","team@adventpropertiesinc.com","mailbox","https://adventpropertiesinc.com/contact-us","2026-09-03","existing-contact-page: mailbox published on the contact page","Sacramento, CA"
"Affinity Management Services","http://www.managedbyaffinity.com/","info@managedbyaffinity.com","mailbox","https://managedbyaffinity.com/","2026-09-03","existing-contact-page: mailbox published on the contact page","Doral, FL"
