"name","website","contact_route","route_type","evidence_url","checked_on","notes","location"
"3 Mountains Plumbing","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 3mountainsplumbing.com: page does not name the organisation | 3mountains.com: page body empty","Milwaukie, OR"
"4 Seasons Heating & Air","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 4hvac.com: host does not carry the organisation name | 4seasons.com: page body empty","Alpharetta, GA"
"4Front Energy","","","none","","2026-09-03","no site confirmed after 1 fetch(es); 4frontenergy.com: host does not carry the organisation name","St. Louis Park, Minnesota"
"5 Star HVAC Contractors","https://5starhvaccontractors.com/","support@5starhvaccontractors.com","mailbox","https://5starhvaccontractors.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Rowlett, Texas"
"A to Z Dependable Services","","","none","","2026-09-03","no candidate domain resolved from the name","Niles, OH"
"A&P Air Conditioning Corporation","https://airconditioning.net/","","none","https://airconditioning.net/","2026-09-03","dns-guess: site confirmed: distinctive name in page; no contact page found (homepage only)","Hialeah, Florida"
"A+Derr Heating & Cooling","","accounting@derrheating.com","mailbox","https://data.wa.gov/d/t9je-9qwa","2026-09-03","gov-register: register: WA L&I statement-of-intent filings; mailbox domain not confirmed as the site: page body empty; no site confirmed after 1 fetch(es); derrheating.com: page body empty","Evansville, Indiana"
"A-Comfort","","","none","","2026-09-03","no site confirmed after 2 fetch(es); comfort.com: http 403 | comfort.net: page does not name the organisation","Pittsburgh, PA"
"A.B. May","","","none","","2026-09-03","no site confirmed after 2 fetch(es); bmay.com: http 403 | b-may.com: page does not name the organisation","Kansas City, MO"
"AA Service Co.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); aaservice.com: page body empty | aa-service.com: page body empty","Northbrook, IL"
"AAA Service Network","https://www.aaaservicenetwork.com/","https://www.aaaservicenetwork.com/contact-us/","form","https://www.aaaservicenetwork.com/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Brighton, MI 48116"
"Abacus Plumbing, Air Conditioning and Electrical","https://www.abacusplumbing.com/","https://www.abacusplumbing.com/about-us/","form","https://www.abacusplumbing.com/about-us/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Houston, TX"
"Above & Beyond","","","none","","2026-09-03","no site confirmed after 2 fetch(es); abovebeyond.com: weak name (abovebeyond): page does not corroborate the location | above-beyond.com: weak name (abovebeyond): page does not corroborate the location","Delaware"
"Absolute Air Services","https://www.absoluteairservices.com/","https://www.absoluteairservices.com/contact-us/","form","https://www.absoluteairservices.com/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Portland, CT | Essex, CT"
"AC Corp","","","none","","2026-09-03","no candidate domain resolved from the name",""
"Accel Air Systems","https://accelairsystems.com/","info@accelairsystems.com","mailbox","https://accelairsystems.com/contact-us","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on contact page","Santa Clara, CA"
"AccuTemp Services","https://accu-tempcorp.com/","office@accu-tempcorp.com","mailbox","https://accu-tempcorp.com/","2026-09-03","dns-guess: site confirmed: full name in page; mailbox on homepage","Baton Rouge, LA"
"Ace Hardware Home Services","https://www.acehardwarehomeservices.com/","","none","https://www.acehardwarehomeservices.com/","2026-09-03","register-website: site confirmed: full name in page; no contact page found (homepage only)","Oak Brook, IL"
"ACES Automatic Controls","","","none","","2026-09-03","no candidate domain resolved from the name","Fenton, MO"
"Action Plumbing, Heating & Cooling","","","none","","2026-09-03","no site confirmed after 2 fetch(es); actionplumbing.com: fetch failed (dns/tls/timeout/blocked) | actionheatingcooling.com: page body empty","Sun Prairie, Wisconsin"
"Action Plumbing","","","none","","2026-09-03","no site confirmed after 2 fetch(es); actionplumbing.com: http 403 | actionplumbing.net: weak name (actionplumbing): page does not corroborate the location","Marlton, NJ"
"Adam Home Services","https://adamhomeservices.com/","https://adamhomeservices.com/contact-us/","form","https://adamhomeservices.com/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Havertown, PA"
"Advanced Cooling Technologies","","","none","","2026-09-03","no site confirmed after 1 fetch(es); advancedcooling.net: page does not name the organisation",""
"Advanced Home Services","https://advancedhomeservices.ca/","info@advancedhomeservices.ca","mailbox","https://advancedhomeservices.ca/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Rigby, ID"
"Advanced Integrated Services (AIS)","https://integratedais.com/","https://integratedais.com/contact","form","https://integratedais.com/contact","2026-09-03","dns-guess: site confirmed: distinctive name in page; contact page fetched, no generic mailbox published",""
"Advantage Latta-Whitlow","","","none","","2026-09-03","no candidate domain resolved from the name",""
"Agentis Plumbing","https://agentisplumbing.com/","contact@agentisplumbing.com","mailbox","https://agentisplumbing.com/contact/","2026-09-03","dns-guess: site confirmed: full name in page; mailbox on contact page",""
"Ainsley Heating & Cooling","","","none","","2026-09-03","no candidate domain resolved from the name","Cortland, OH"
"AIR (AIR Control Concepts)","","","none","","2026-09-03","no candidate domain resolved from the name",""
"Air Comfort","https://www.aircomfort.com/","https://www.aircomfort.com/contact","form","https://www.aircomfort.com/contact","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Broadview, IL"
"Air Dynamics","","","none","","2026-09-03","no site confirmed after 2 fetch(es); airdynamics.com: parked/stub page (domain for sale) | air-dynamics.com: page does not name the organisation",""
"Air Express Air Conditioning Heating","","","none","","2026-09-03","no site confirmed after 2 fetch(es); airexpress.com: http 503 | airexpress.net: page body empty; no site confirmed after 2 fetch(es); airexpress.com: fetch failed (dns/tls/timeout/blocked) | airexpress.net: page body empty",""
"Air Force One","https://www.airforceone.com/","https://www.airforceone.com/contact-us","form","https://www.airforceone.com/contact-us","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Columbus, OH"
"Air Professional Associates (APA)","","","none","","2026-09-03","no site confirmed after 2 fetch(es); airprofessional.com: page body empty | airprofessional.net: page does not name the organisation",""
"Air Texas Mechanical","https://www.airtexasmechanical.com/","https://www.airtexasmechanical.com/contact-us","form","https://www.airtexasmechanical.com/contact-us","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Addison, TX"
"Aireko","https://www.aireko.com/","","none","https://www.aireko.com/","2026-09-03","dns-guess: site confirmed: full name in page; no contact page found (homepage only)","11 C. Claudia, Guaynabo, 00969, Puerto Rico"
"AirMasters","https://www.airmasters.net/","https://www.airmasters.net/contact-us/","form","https://www.airmasters.net/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; contact page fetched, no generic mailbox published","Springfield, IL"
"Airstron Mechanical","","","none","","2026-09-03","no site confirmed after 1 fetch(es); airstronmechanical.com: page body empty","Fort Lauderdale, FL"
"AirTemp Mechanical","https://www.air-tempmech.com/","customer.service@air-tempmech.com","mailbox","https://www.air-tempmech.com/","2026-09-03","dns-guess: site confirmed: full name in page; mailbox on homepage","Berlin, CT"
"AirTight FaciliTech","","","none","","2026-09-03","no candidate domain resolved from the name","Charlotte, NC"
"Akian Plumbing, Heating, Cooling & Electric","https://www.akianplumbing.com/","customercare@akianplumbing.com","mailbox","https://www.akianplumbing.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Watertown, Massachusetts"
"Albiero Plumbing & HVAC","https://albieroplumbing.com/","https://albieroplumbing.com/contact-us/","form","https://albieroplumbing.com/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; contact page fetched, no generic mailbox published","Wisconsin"
"Albiero Plumbing","https://albieroplumbing.com/","https://albieroplumbing.com/contact-us/","form","https://albieroplumbing.com/contact-us/","2026-09-03","register-website: site confirmed: full name in page; contact page fetched, no generic mailbox published",""
"Alco Air Cooling, Heating, and Plumbing","https://www.alcoair.com/","https://www.alcoair.com/contact-us/","form","https://www.alcoair.com/contact-us/","2026-09-03","dns-guess: site confirmed: two distinctive tokens in page; contact page fetched, no generic mailbox published",""
"Aligned Exteriors Group","https://alignedexteriorsgroup.com/","https://alignedexteriorsgroup.com/contact-us/","form","https://alignedexteriorsgroup.com/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; contact page fetched, no generic mailbox published",""
"All Hours Air","https://allhoursair.com/","https://allhoursair.com/contact-us/","form","https://allhoursair.com/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Reno, NV"
"All-Temp Systems Mechanical","","","none","","2026-09-03","no site confirmed after 2 fetch(es); alltemp.com: page does not name the organisation | alltemp.net: page body empty; no site confirmed after 2 fetch(es); alltemp.com: page does not name the organisation | alltemp.net: page does not name the organisation",""
"Allbritten Plumbing, Heating and Air Conditioning Services","https://allbritten.com/","https://allbritten.com/contact/","form","https://allbritten.com/contact/","2026-09-03","register-website: site confirmed: two distinctive tokens in page; city/state corroborated; contact page fetched, no generic mailbox published","Fresno, CA"
"Allied Experts","https://alliedexperts.com/","info@alliedexperts.com","mailbox","https://alliedexperts.com/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; mailbox on homepage","Cherry Hill, NJ"
"Allstar Services","","","none","","2026-09-03","no site confirmed after 2 fetch(es); allstarservices.com: weak name (allstarservices): page does not corroborate the location | allstarservices.net: weak name (allstarservices): page does not corroborate the location",""
"Alpha Energy Solutions","","","none","","2026-09-03","no site confirmed after 2 fetch(es); alphaenergysolutions.com: http 503 | alphaenergy.com: http 403; no site confirmed after 2 fetch(es); alphaenergysolutions.com: fetch failed (dns/tls/timeout/blocked) | alphaenergy.com: fetch failed (dns/tls/timeout/blocked)","Calvert City, KY"
"Altec Roofing","https://www.altecroofing.com/","https://www.altecroofing.com/contact","form","https://www.altecroofing.com/contact","2026-09-03","dns-guess: site confirmed: full name in page; contact page fetched, no generic mailbox published",""
"American Energy Management","","","none","","2026-09-03","no site confirmed after 2 fetch(es); americanenergy.com: http 403 | americanenergy.net: page body empty; no site confirmed after 2 fetch(es); americanenergy.com: fetch failed (dns/tls/timeout/blocked) | americanenergy.net: page body empty","Cromwell, CT"
"American Heating and Air","","","none","","2026-09-03","no site confirmed after 2 fetch(es); americanheatingair.com: parked/stub page (hugedomains) | americanheating.com: parked/stub page (the domain name)",""
"American Home Contractors","","","none","","2026-09-03","no site confirmed after 2 fetch(es); americanhomecontractors.com: weak name (americanhomecontractors): page does not corroborate the location | americanhome.com: page does not name the organisation",""
"American Legacy Construction","","","none","","2026-09-03","no site confirmed after 2 fetch(es); americanlegacyconstruction.com: page body empty | americanlegacy.com: page does not name the organisation",""
"American Vintage Home","https://americanvintagehome.com/","https://americanvintagehome.com/contact/","form","https://americanvintagehome.com/contact/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Chicago, Illinois"
"Anchor Heating and Air","https://anchorheating.com/","https://anchorheating.com/index.php/about/","form","https://anchorheating.com/index.php/about/","2026-09-03","dns-guess: site confirmed: two distinctive tokens in page; contact page fetched, no generic mailbox published","Charleston, South Carolina"
"Anderson Plumbing, Heating & Air","https://www.andersonplumbingheatingandair.com/","https://www.andersonplumbingheatingandair.com/contact/","form","https://www.andersonplumbingheatingandair.com/contact/","2026-09-03","register-website: site confirmed: full name in page; contact page fetched, no generic mailbox published","El Cajon, CA"
"Anthony Plumbing, Heating, Cooling & Electric","https://anthonyphc.com/","https://anthonyphc.com/contact-us/","form","https://anthonyphc.com/contact-us/","2026-09-03","register-website: site confirmed: full name in page; contact page fetched, no generic mailbox published","Lenexa, KS"
"Any Hour Services","https://anyhourservices.com/","https://anyhourservices.com/contact-us/","form","https://anyhourservices.com/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Orem, UT"
"Anytime Plumbing, LLC","https://anytimeplumbingvegas.com/","https://anytimeplumbingvegas.com/contact-us/","form","https://anytimeplumbingvegas.com/contact-us/","2026-09-03","register-website: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Las Vegas, NV"
"AP Plumbing","","","none","","2026-09-03","no site confirmed after 2 fetch(es); applumbing.com: weak name (applumbing): page does not corroborate the location | ap-plumbing.com: http 404",""
