"app","prospect_type","segment","name","website","location","size_signal","fit_rationale","contact_route","decision_maker_role","source_url","source_type","confidence","collected_on","notes"
"wagelens","end-customer","commercial and institutional building general contractor","American Engineering Corporation","","","212 federal awards, $372.8M total since 2024","Holds federal commercial and institutional building general contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/71a63d1a-21b1-329e-a097-8a4a2b955fdf-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Defense; latest award N4008426F4303 (2026-05-21); NAICS 236220,237310,238210,238220,238290,238320,238990; excluded: >$50M of federal awards in window, too large for the ICP"
"wagelens","end-customer","commercial and institutional building general contractor","Miscellaneous Foreign Awardees","","CA,DC,VA","321 federal awards, $217.9M total since 2024","Holds federal commercial and institutional building general contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/award/CONT_AWD_W564KV24C0054_9700_-NONE-_-NONE-","api","verified","2026-09-03","role=prime; agencies=Agency for International Development; Department of Defense; Department of State; Smithsonian Institution; latest award 19HA7026P1030 (2026-08-27); NAICS 236220,237310,238110,238120,238140,238150,238160,238190,238210,238220,238290,238310,238320,238330,238340,238350,238390,238910,238990; excluded: >$50M of federal awards in window, too large for the ICP"
"wagelens","end-customer","commercial and institutional building general contractor","Cci Utility And Construction Services, LLC","","Anchorage, AK","73 federal awards, $204.2M total since 2024","Holds federal commercial and institutional building general contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/e7169ab0-cffa-af43-2c00-0ff118f5f69c-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Defense; Department of Homeland Security; latest award W9124P25F0726 (2025-09-30); NAICS 236220,237310; excluded: >$50M of federal awards in window, too large for the ICP"
"wagelens","end-customer","site preparation contractor","Bundesamt Für Bauwesen Und Raumordnung","","","73 federal awards, $198.1M total since 2024","Holds federal site preparation contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/5835f471-d8f8-c154-040c-7ea2672d3e61-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Defense; latest award W912GB22C0010 (2022-04-29); NAICS 238910,238990; excluded: >$50M of federal awards in window, too large for the ICP"
"wagelens","end-customer","commercial and institutional building general contractor","Olgoonik Enterprises, LLC","","Colorado Springs, CO","85 federal awards, $182.4M total since 2024","Holds federal commercial and institutional building general contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/893587cf-63e4-af28-7da6-82c2eb7b651f-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Commerce; Department of Defense; Department of Homeland Security; General Services Administration; latest award 1333ND26FNB190168 (2026-10-01); NAICS 236220,237310; excluded: >$50M of federal awards in window, too large for the ICP"
"wagelens","end-customer","commercial and institutional building general contractor","Mckenzie Construction & Site Development LLC","","AR,CA,DC,FL,GA,KS","55 federal awards, $170.2M total since 2024","Holds federal commercial and institutional building general contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/af3ccc3d-85dd-4315-2d9c-47fd3fc23cb8-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Agriculture; Department of Defense; Department of Labor; Department of Transportation; latest award 1232SA26C0014 (2026-07-31); NAICS 236220,237310,238210,238220; excluded: >$50M of federal awards in window, too large for the ICP"
"wagelens","end-customer","commercial and institutional building general contractor","Elevated Technologies Services, LLC","","AK,AL,AR,CA,CO,FL","101 federal awards, $167.0M total since 2024","Holds federal commercial and institutional building general contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/b92ede72-d0f6-0409-281a-6ffa28b39760-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Defense; Department of Veterans Affairs; Department of the Interior; General Services Administration; latest award 47PD5526F0302 (2026-08-11); NAICS 236220,238290,238990; excluded: >$50M of federal awards in window, too large for the ICP"
"wagelens","end-customer","commercial and institutional building general contractor","J & J Maintenance Inc","","AK,AL,CA,HI,KY,LA","39 federal awards, $165.8M total since 2024","Holds federal commercial and institutional building general contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/80d30511-4f48-088f-1c94-f7404764de80-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Defense; latest award FA561326F0139 (2026-04-30); NAICS 236220; excluded: >$50M of federal awards in window, too large for the ICP"
"wagelens","end-customer","commercial and institutional building general contractor","Stampede Ventures, Inc.","","Nome, AK","41 federal awards, $159.3M total since 2024","Holds federal commercial and institutional building general contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/45835570-ab6e-0f11-49ae-17ffce019e33-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Defense; Department of Health and Human Services; Department of Labor; latest award N6247326F0118 (2026-01-15); NAICS 236220,237310,238210,238910; excluded: >$50M of federal awards in window, too large for the ICP"
"wagelens","end-customer","commercial and institutional building general contractor","Cms Corporation","","Bargersville, IN","32 federal awards, $155.7M total since 2024","Holds federal commercial and institutional building general contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/5909f2c2-4e9c-57c7-da91-63fd3eeda228-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Defense; latest award FA890325F0038 (2025-02-28); NAICS 236220; excluded: >$50M of federal awards in window, too large for the ICP"
