"app","prospect_type","segment","name","website","location","size_signal","fit_rationale","contact_route","decision_maker_role","source_url","source_type","confidence","collected_on","notes"
"wagelens","end-customer","DBE certified construction firm","216 Resources, Inc","http://www.216resources.com","New Orleans, LA","certification: SLDBE (CNO)","Certified DBE/SLDBE in construction with the City of New Orleans, so it subcontracts on federally assisted local work carrying Davis-Bacon.","","owner or office manager","https://data.nola.gov/d/q42h-ptn2","government-db","verified","2026-09-03","New Orleans DBE directory; capability: Brick, stone and Related Construction Material Merchant Wholesalers, Broker Fees and Construction Materials, Other Management Consulting Services, Con; website as published in the register, not independently opened"
"wagelens","end-customer","DBE certified construction firm","3B Electrical Contractor","","New Orleans, LA","certification: SLDBE (CNO)","Certified DBE/SLDBE in construction with the City of New Orleans, so it subcontracts on federally assisted local work carrying Davis-Bacon.","","owner or office manager","https://data.nola.gov/d/q42h-ptn2","government-db","verified","2026-09-03","New Orleans DBE directory; capability: Commercial Electrical Work Remodeling; New Construction; Lighting Power; Electrical Work; website as published in the register, not independently opened"
"wagelens","end-customer","DBE certified construction firm","5 Star Contractors, LLC","","Metuchen, NJ","certified DBE in the NYS Unified Certification Program","Certified DBE in a construction NAICS, the firms federal-aid highway and transit primes must subcontract to, which puts it on Davis-Bacon covered work with a weekly WH-347 obligation.","","owner or office manager","https://data.ny.gov/d/pfeu-dsx6","government-db","verified","2026-09-03","NYS UCP DBE directory; commodity codes 236118 - Residential Remodelers; 238210 - Electrical Contractors and Other Wiring Installation Contractors; 238290 - Other Building Equipment Contractors; 060A "
"wagelens","end-customer","DBE certified construction firm","6 Degrees Consulting, Inc.","","Ptttsburgh, PA","certified DBE in the NYS Unified Certification Program","Certified DBE in a construction NAICS, the firms federal-aid highway and transit primes must subcontract to, which puts it on Davis-Bacon covered work with a weekly WH-347 obligation.","","owner or office manager","https://data.ny.gov/d/pfeu-dsx6","government-db","verified","2026-09-03","NYS UCP DBE directory; commodity codes 236115 - New Single-Family Housing Construction (except For-Sale Builders); 236116 - New Multifamily Housing Construction (except For-Sale Builders); 236117 - N"
"wagelens","end-customer","DBE certified construction firm","A & A Consultants","","Pittsburgh, PA","certified DBE in the NYS Unified Certification Program","Certified DBE in a construction NAICS, the firms federal-aid highway and transit primes must subcontract to, which puts it on Davis-Bacon covered work with a weekly WH-347 obligation.","","owner or office manager","https://data.ny.gov/d/pfeu-dsx6","government-db","verified","2026-09-03","NYS UCP DBE directory; commodity codes 237310 - Highway, Street, and Bridge Construction; 541380 - Testing Laboratories; 050B - MATERIAL SAMPLING, TESTING & ON-SITE INSPECTION; 050C - CONSTRUCTION MA"
"wagelens","end-customer","DBE certified construction firm","A & A Industrial LLC","","Queens Village, NY","certified DBE in the NYS Unified Certification Program","Certified DBE in a construction NAICS, the firms federal-aid highway and transit primes must subcontract to, which puts it on Davis-Bacon covered work with a weekly WH-347 obligation.","","owner or office manager","https://data.ny.gov/d/pfeu-dsx6","government-db","verified","2026-09-03","NYS UCP DBE directory; commodity codes 238990 - All Other Specialty Trade Contractors"
"wagelens","end-customer","DBE certified construction firm","A & C Fence LLC","","Craryville, NY","certified DBE in the NYS Unified Certification Program","Certified DBE in a construction NAICS, the firms federal-aid highway and transit primes must subcontract to, which puts it on Davis-Bacon covered work with a weekly WH-347 obligation.","","owner or office manager","https://data.ny.gov/d/pfeu-dsx6","government-db","verified","2026-09-03","NYS UCP DBE directory; commodity codes 237310 - Construction management, highway, road, street and bridge; 237310 - Pavement, highway, road, street, bridge or airport runway, construction; 237310 - S"
"wagelens","end-customer","DBE certified construction firm","A & J Mechanical - HVAC, Inc","","Englishtown, NJ","certified DBE in the NYS Unified Certification Program","Certified DBE in a construction NAICS, the firms federal-aid highway and transit primes must subcontract to, which puts it on Davis-Bacon covered work with a weekly WH-347 obligation.","","owner or office manager","https://data.ny.gov/d/pfeu-dsx6","government-db","verified","2026-09-03","NYS UCP DBE directory; commodity codes 238110 - Poured Concrete Foundation and Structure Contractors; 238140 - Masonry Contractors; 238190 - Other Foundation, Structure, and Building Exterior Contrac"
"wagelens","end-customer","DBE certified construction firm","A & T IRON WORKS INC","","New Rochelle, NY","certified DBE in the NYS Unified Certification Program","Certified DBE in a construction NAICS, the firms federal-aid highway and transit primes must subcontract to, which puts it on Davis-Bacon covered work with a weekly WH-347 obligation.","info@atironworks.com","owner or office manager","https://data.ny.gov/d/pfeu-dsx6","government-db","verified","2026-09-03","NYS UCP DBE directory; commodity codes 238990 - All Other Specialty Trade Contractors; 332312 - Fabricated structural metal manufacturing; 332999 - All Other Miscellaneous Fabricated Metal Product Ma"
"wagelens","end-customer","DBE certified construction firm","A Vaillancourt LLC","","Clarence, NY","certified DBE in the NYS Unified Certification Program","Certified DBE in a construction NAICS, the firms federal-aid highway and transit primes must subcontract to, which puts it on Davis-Bacon covered work with a weekly WH-347 obligation.","","owner or office manager","https://data.ny.gov/d/pfeu-dsx6","government-db","verified","2026-09-03","NYS UCP DBE directory; commodity codes 238910 - Site Preparation Contractors; 484220 - Specialized Freight (except Used Goods) Trucking, Local; 561730 - Landscaping Services; 201 - CLEARING GRUBBING;"
