"name","website","contact_route","route_type","evidence_url","checked_on","notes","location"
"""A-Vet Roofing & Construction, L.L.C.""","","","none","","2026-09-03","no site confirmed after 1 fetch(es); vetroofing.com: page does not name the organisation","Warner Robins, GA"
"""Serbest Elektrik"" LLC","https://serbestelektrik.com/","info@serbestelektrik.com","mailbox","https://serbestelektrik.com/","2026-09-03","dns-guess: site confirmed: full name in page; mailbox on homepage",""
"'Asta' Roofing & Construction, LLC","https://astaroofing.com/","https://astaroofing.com/contact","form","https://astaroofing.com/contact","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Winslow, AZ"
"(Xrb) Construction Services LLC","https://xrbconstruction.com/","https://xrbconstruction.com/contact","form","https://xrbconstruction.com/contact","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Hillside, IL"
"1 Venus Fire Safety, Inc.","","","none","","2026-09-03","no site confirmed after 2 fetch(es); venusfp.net: host does not carry the organisation name | 1venusfiresafety.com: host does not carry the organisation name","Brooklyn, NY"
"1 We Build Environments Corp","","","none","","2026-09-03","no site confirmed after 1 fetch(es); wbe.nyc: page body empty","New York, NY"
"10 November LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 10novgroup.com: fetch failed (dns/tls/timeout/blocked) | 10november.com: parked/stub page (hugedomains)","New Rochelle, NY"
"10/10 Construction LLC","https://1010construction.net/","https://1010construction.net/contact-us/","form","https://1010construction.net/contact-us/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Fort Worth, TX"
"11 Series Energy, Inc.","https://11seriesenergy.com/","https://11seriesenergy.com/contact/","form","https://11seriesenergy.com/contact/","2026-09-03","dns-guess: site confirmed: full name in page; city/state corroborated; contact page fetched, no generic mailbox published","Melbourne, FL"
"11400 LLC","","","none","","2026-09-03","no site confirmed after 2 fetch(es); 11400.com: parked/stub page (buy this domain) | 11400.net: http 403","Lancaster, PA"
"12Twelve Road And Bridge LLC","","","none","","2026-09-03","no candidate domain resolved from the name","TX"
"147th Street Homes, Inc.","","","none","","2026-09-03","no candidate domain resolved from the name","Cambria Heights, NY"
"192 Branch Interior Services, Inc.","","","none","","2026-09-03","no candidate domain resolved from the name","NY"
"192 Branch Interior Services, Inc.","","","none","","2026-09-03","no site confirmed after 1 fetch(es); branchservicesinc.com: page does not name the organisation","Ronkonkoma, NY"
"1De La Vega LLC","","","none","","2026-09-03","no candidate domain resolved from the name","Burlingame, CA"
"1st Class Contracting of N.Y., Corp.","https://1stclasscontractingny.com/","https://1stclasscontractingny.com/contact-us/","form","https://1stclasscontractingny.com/contact-us/","2026-09-03","register-website: site confirmed: distinctive name in page; city/state corroborated; contact page fetched, no generic mailbox published","Queens Village, NY"
