"app","prospect_type","segment","name","website","location","size_signal","fit_rationale","contact_route","decision_maker_role","source_url","source_type","confidence","collected_on","notes"
"wagelens","end-customer","other building finishing contractor","Krueger International, Inc.","","Green Bay, WI","152 federal awards, $33.9M total since 2024","Holds federal other building finishing contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/524c47dd-5fec-792f-7542-bf5ef9d61224-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Justice; latest award 15UC0C26F00002082 (2026-08-26); NAICS 238390"
"wagelens","end-customer","all other specialty trade contractor","Dupont Building, Inc.","","Bell City, LA","144 federal awards, $11.7M total since 2024","Holds federal all other specialty trade contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/b7e5257e-6d8d-da05-4c16-fe158bc7ca42-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Transportation; latest award 6973GH26F01343 (2026-08-28); NAICS 238990"
"wagelens","end-customer","plumbing, heating and air-conditioning contractor","Tuknik Government Services LLC","","Anchorage, AK","90 federal awards, $38.9M total since 2024","Holds federal plumbing, heating and air-conditioning contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/eb3864be-89b2-cfc7-91d3-27a3caebeda0-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of State; latest award 19AQMM24F2532 (2024-09-27); NAICS 238220"
"wagelens","end-customer","commercial and institutional building general contractor","R&I Construction, Inc.","","Aiea, HI","79 federal awards, $40.4M total since 2024","Holds federal commercial and institutional building general contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/8c0d8935-3bb4-dadf-e567-1f89c3ece736-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Commerce; Department of Defense; Federal Communications Commission; latest award 273FCC26P0052 (2026-09-01); NAICS 236220,237310,238160,238290,238320,238990"
"wagelens","end-customer","commercial and institutional building general contractor","Permon Contractors Inc","","Ontario, CA","74 federal awards, $39.5M total since 2024","Holds federal commercial and institutional building general contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/d368bdbc-5ae8-f602-c781-f71eca5d9c09-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Defense; latest award N6600126F8960 (2026-05-28); NAICS 236220,238220,238990"
"wagelens","end-customer","electrical contractor","Chickasaw Strategic Pointe, LLC","","Norman, OK","71 federal awards, $26.5M total since 2024","Holds federal electrical contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/fc99aa23-55ce-5d09-0e4e-f649218385c4-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Transportation; latest award 693KA826F00300 (2026-08-18); NAICS 238210"
"wagelens","end-customer","commercial and institutional building general contractor","Urban Electric, Inc","","Altamonte Springs, FL","70 federal awards, $29.5M total since 2024","Holds federal commercial and institutional building general contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/d9c9dbb7-b500-d7cd-5cc3-3663f9c26927-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Transportation; latest award 6973GH26F01287 (2026-08-18); NAICS 236220,238210"
"wagelens","end-customer","electrical contractor","Quad J Inc","","Avon, IN","70 federal awards, $25.7M total since 2024","Holds federal electrical contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/7b9a0a17-c3f3-ead6-c4fc-caa868924f52-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Transportation; latest award 6973GH26F01219 (2026-08-19); NAICS 238210"
"wagelens","end-customer","electrical contractor","Sentinel Power Services, LLC","","AK,AL,AZ,CA,CO,FM","69 federal awards, $36.4M total since 2024","Holds federal electrical contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/4b411c12-14c7-6326-8424-1c8a333094fb-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Transportation; latest award 6973GH25F00571 (2025-03-26); NAICS 238210"
"wagelens","end-customer","commercial and institutional building general contractor","Barkley Andross Corp.","","Hesperia, CA","66 federal awards, $45.2M total since 2024","Holds federal commercial and institutional building general contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/8d233e73-431f-f980-cde4-2d472724fcdb-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Defense; latest award N6247326F0296 (2026-04-15); NAICS 236220,237310,238210,238990"
"wagelens","end-customer","electrical contractor","C.N.S. Communications, LLC","","Scottsdale, AZ","65 federal awards, $22.2M total since 2024","Holds federal electrical contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/e9b962f8-3d4f-9640-2803-f858f995638c-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Transportation; latest award 6973GH26F00403 (2026-02-20); NAICS 238210"
"wagelens","end-customer","highway, street and bridge construction contractor","Price Contracting Inc","","Stevensville, MT","59 federal awards, $38.8M total since 2024","Holds federal highway, street and bridge construction contractor contracts in the $50k-$10M band, the size where Davis-Bacon applies but there is no in-house compliance department.","","owner or office manager","https://www.usaspending.gov/recipient/bf6ba3b4-d97d-a4e6-5602-3e408d1892e3-C/latest","api","verified","2026-09-03","role=prime; agencies=Department of Agriculture; Department of Transportation; latest award 1240LT26F0043 (2026-09-01); NAICS 237310"
