"app","prospect_type","segment","name","website","location","size_signal","fit_rationale","contact_route","decision_maker_role","source_url","source_type","confidence","collected_on","notes"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Mckinstry Co LLC","","Seattle, WA","4115 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Guardian Security Systems Inc","","Seattle, WA","2226 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Johnson Controls Fire Prttn LP","","Boca Raton, FL","1757 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Cummins Inc","","Columbus, IN","1732 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-31; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Macdonald-Miller Fac Solns LLC","","Seattle, WA","1656 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-25; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Miles Sand & Gravel Company","","Puyallup, WA","1490 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-25; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Great Floors","","Coeur D Alene, ID","1447 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-09-01; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Pacific Power Group LLC","","Kent, WA","1419 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-28; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Glacier Northwest dba Calportland","","Seattle, WA","1355 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-26; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Evergreen Concrete Cutting Inc","","Sumner, WA","1310 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-25; contractor licence n/a"
"wagelens","end-customer","state prevailing-wage contractor (WA)","Specialized Pavement Mrkg LLC","","Tualatin, OR","1284 statement of intents on WA public works since 2024","Files statements of intent to pay prevailing wage on Washington public works, so it already runs county/craft rate lookups and weekly certified payroll and is the exact workflow WageLens replaces.","","owner or office manager","https://data.wa.gov/d/t9je-9qwa","government-db","verified","2026-09-03","WA L&I Intent Project Details; latest intent 2026-08-31; contractor licence n/a"
