"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","238","55","0","2025","A","",7918,66494,4701457373,774466636,4209390,1360,70705,"",0.99,0.94,1.03,0.90,0.72,1.10,1.10,"",192,2.5,2593,4.1,434423577,10.2,37327039,5.1,-654384,-13.5,76,5.9,3929,5.9
"01001","5","238","75","0","2025","A","",65,402,22302133,4246710,14703,1066,55409,"",1.12,0.93,0.97,0.88,0.40,1.04,1.04,"",2,3.2,-9,-2.2,494219,2.3,-346291,-7.5,-6587,-30.9,46,4.5,2359,4.4
"01003","5","238","75","0","2025","A","",592,3531,239818588,42600734,275340,1306,67920,"",1.29,1.20,1.53,1.09,0.98,1.27,1.27,"",22,3.9,-11,-0.3,6109250,2.6,-891038,-2.0,-58115,-17.4,37,2.9,1933,2.9
"01005","5","238","75","0","2025","A","",20,74,3626852,830855,2303,938,48792,"",0.69,0.29,0.30,0.28,0.12,1.04,1.04,"",0,0.0,-7,-8.6,-214903,-5.6,-49796,-5.7,-3895,-62.8,26,2.9,1363,2.9
"01007","5","238","75","0","2025","A","",34,136,6567302,1319720,8492,925,48112,"",1.49,0.83,0.71,0.74,0.78,0.86,0.86,"",0,0.0,4,3.0,-76852,-1.2,-135804,-9.3,559,7.0,-40,-4.1,-2064,-4.1
"01009","5","238","75","0","2025","A","",106,425,25429660,4538221,24738,1150,59823,"",2.15,1.38,1.72,1.33,0.99,1.25,1.25,"",7,7.1,11,2.7,1788438,7.6,22968,0.5,-13867,-35.9,52,4.7,2707,4.7
"01011","5","238","75","0","2025","A","N",2,0,0,0,0,0,0,"N",0.19,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","238","75","0","2025","A","",20,129,7713691,1513068,11166,1146,59604,"",0.78,0.57,0.71,0.51,0.66,1.25,1.25,"",-1,-4.8,4,3.2,41579,0.5,-33015,-2.1,-6629,-37.3,-34,-2.9,-1732,-2.8
"01015","5","238","75","0","2025","A","",137,874,54277093,9839771,43581,1194,62078,"",0.96,0.60,0.71,0.64,0.47,1.18,1.18,"",13,10.5,126,16.8,9378349,20.9,1535609,18.5,515,1.2,40,3.5,2053,3.4
"01017","5","238","75","0","2025","A","",46,206,12649118,2172076,12548,1183,61528,"",1.14,0.66,0.77,0.57,0.38,1.17,1.17,"",1,2.2,20,10.8,1830630,16.9,229476,11.8,571,4.8,66,5.9,3442,5.9
"01019","5","238","75","0","2025","A","N",19,0,0,0,0,0,0,"N",0.74,0,0,0,0,0,0,"N",-1,-5.0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","238","75","0","2025","A","",78,457,34302234,4931761,18629,1445,75114,"",1.68,1.45,2.21,1.33,0.63,1.52,1.52,"",2,2.6,5,1.1,3027600,9.7,85561,1.8,-8127,-30.4,115,8.6,5973,8.6
"01023","5","238","75","0","2025","A","N",16,0,0,0,0,0,0,"N",0.90,0,0,0,0,0,0,"N",1,6.7,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","238","75","0","2025","A","",10,38,2165874,395371,1360,1098,57122,"",0.28,0.15,0.16,0.13,0.07,1.10,1.10,"N",-3,-23.1,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","238","75","0","2025","A","",10,31,1198405,299734,1126,737,38349,"",0.78,0.22,0.18,0.17,0.13,0.82,0.82,"",1,11.1,7,29.2,226983,23.4,74922,33.3,-1764,-61.0,-47,-6.0,-2410,-5.9
"01029","5","238","75","0","2025","A","",15,57,3330060,533143,4082,1115,57998,"",1.04,0.60,0.62,0.49,0.64,1.02,1.02,"",-1,-6.2,13,29.5,641788,23.9,51259,10.6,-121,-2.9,-62,-5.3,-3215,-5.3
"01031","5","238","75","0","2025","A","",51,281,13099582,2727464,11652,897,46645,"",0.73,0.47,0.46,0.37,0.27,0.96,0.96,"",-1,-1.9,-18,-6.0,-642005,-4.7,-254399,-8.5,-2402,-17.1,12,1.4,648,1.4
"01033","5","238","75","0","2025","A","",86,1209,82956515,13646518,108274,1320,68621,"",1.03,1.46,1.68,1.41,1.41,1.15,1.15,"",2,2.4,2,0.2,6487373,8.5,-69010,-0.5,14041,14.9,102,8.4,5279,8.3
"01035","5","238","75","0","2025","A","",11,75,3535459,824090,1937,909,47244,"",0.77,0.66,0.63,0.59,0.29,0.95,0.94,"",0,0.0,-1,-1.3,70165,2.0,-100033,-10.8,-3098,-61.5,32,3.6,1648,3.6
"01037","5","238","75","0","2025","A","",8,23,1081278,245430,3329,898,46674,"",0.99,0.47,0.40,0.44,1.08,0.83,0.83,"",1,14.3,6,35.3,316204,41.3,83356,51.4,1369,69.8,15,1.7,770,1.7
"01039","5","238","75","0","2025","A","",48,272,14992275,3324968,12681,1059,55051,"",0.84,0.65,0.71,0.67,0.39,1.09,1.09,"",4,9.1,36,15.3,2775624,22.7,628563,23.3,-15788,-55.5,62,6.2,3194,6.2
